Domain,Classifier Name,Algorithm,Vectorization,Master Records,Train Count,Val Count,Test Count,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Num Classes,Top Class (F1),Lowest Class (F1),Mean Margin,Stress Test Score,Status,Source File Path
IT,IT Role Classifier v1,LinearSVC / LogisticRegression,TF-IDF Word (1,2) (21604 vocab),1947,1362,292,293,0.9120,0.8950,0.8820,0.8850,0.9110,10,DevOps Engineer (0.8647),Cloud Engineer (0.4118),1.4300,76.41% (Val Acc),FROZEN / ACTIVE,ml/reports/pre_integration_validation_report.md
ECE,ECE Role Classifier v1,LinearSVC (C=1.0 balanced),TF-IDF Word (1,2) (30000 max),5663,3964,849,850,0.9459,0.9211,0.9176,0.9189,0.9456,5,IoT Engineer (0.9670),PCB Design Engineer (0.8298),1.5200,92.93% (Val Acc),FROZEN,reports/ece_role_classifier_report.md
Mechanical,Mechanical Role Classifier v1,LinearSVC (C=0.5/1.0 balanced),TF-IDF Word (1,2),10706,7494,1606,1606,0.9334,0.9137,0.9194,0.9163,0.9339,5,HVAC Engineer (0.9690),Product Design Engineer (0.8740),1.4631,93.77% (Val Acc),FROZEN,reports/mechanical_role_classifier_report.md
MBA,MBA Role Classifier v1,LinearSVC (C=1.0 balanced),TF-IDF Word (1,3) (50000 max),42368,29657,6355,6356,0.9904,0.9860,0.9774,0.9815,0.9904,6,Sales Executive (0.9989),Marketing Analyst (0.9617),2.3211,94.74% (18/19 Stress Test),FROZEN,reports/mba_role_classifier_report.md
B.Com,B.Com Role Classifier v1,LinearSVC (C=1.0),TF-IDF Word (1,3),34303,24012,5145,5146,0.9615,0.9483,0.9341,0.9408,0.9614,6,Tax Consultant (0.9856),Finance Executive (0.8442),1.8837,95.63% (Val Acc),FROZEN,reports/bcom_role_classifier_report.md
Civil,Civil Engineering Role Classifier v1,LinearSVC (C=1.0),TF-IDF Word (1,3),11192,7834,1679,1679,0.9946,0.9964,0.9936,0.9950,0.9946,6,Geotechnical Engineer (1.0000),Civil Site Engineer (0.9830),1.9323,99.11% (Val Acc),FROZEN,reports/civil_role_classifier_report.md
